Leap Controller X;Leap Controller Y;Leap Controller Z;Reference Index X;Reference Index Y;Reference Index Z;Measured Index X;Measured Index Y;Measured Index Z;Reference Wrist X;Reference Wrist Y;Reference Wrist Z;Measured Wrist X;Measured Wrist Y;Measured Wrist Z;Reference Thumb X;Reference Thumb Y;Reference Thumb Z;Measured Thumb X;Measured Thumb Y;Measured Thumb Z
0.16;-0.16;0.0085;0.0302;0.1095;0.15;0.03627305;0.09127995;0.1485301;0.004;-0.048;0.15;0.007042035;-0.05029677;0.1530261;0.04629;0.05559999;0.15;0.05651517;0.05174248;0.1519016
0.2;-0.16;0.0085;0.0302;0.1095;0.15;0.03438367;0.09349218;0.1467306;0.004;-0.048;0.15;0.004299119;-0.04843715;0.1525302;0.04629;0.05559999;0.15;0.05325386;0.05383812;0.1521433
0.24;-0.16;0.0085;0.0302;0.1095;0.15;0.0355273;0.09340253;0.1446026;0.004;-0.048;0.15;0.006224707;-0.04973979;0.1529653;0.04629;0.05559999;0.15;0.05439541;0.05346523;0.1529058
0.28;-0.16;0.0085;0.0302;0.1095;0.15;0.03949486;0.089772;0.1398274;0.004;-0.048;0.15;0.006436974;-0.05228764;0.1531501;0.04629;0.05559999;0.15;0.05775912;0.04975848;0.1516816
0.32;-0.16;0.0085;0.0302;0.1095;0.15;0.03886914;0.08157539;0.1370636;0.004;-0.048;0.15;0.01135954;-0.05976619;0.1497518;0.04629;0.05559999;0.15;0.06435123;0.03994137;0.1458235
0.32;-0.2;0.0085;0.0302;0.1095;0.15;0.03877851;0.06850272;0.143342;0.004;-0.048;0.15;0.008540511;-0.06227493;0.1542598;0.04629;0.05559999;0.15;0.06420967;0.03145395;0.1495712
0.28;-0.2;0.0085;0.0302;0.1095;0.15;0.03644723;0.06729919;0.1384588;0.004;-0.048;0.15;0.006819665;-0.06220753;0.1499199;0.04629;0.05559999;0.15;0.05618343;0.03220394;0.1475596
0.2;-0.2;0.0085;0.0302;0.1095;0.15;0.02714899;0.07983786;0.1406383;0.004;-0.048;0.15;0.002379417;-0.05601521;0.1499181;0.04629;0.05559999;0.15;0.05002643;0.04170413;0.1462006
0.16;-0.2;0.0085;0.0302;0.1095;0.15;0.03003126;0.08547318;0.1438724;0.004;-0.048;0.15;0.004958361;-0.05412745;0.1506629;0.04629;0.05559999;0.15;0.05318759;0.04529345;0.1487128
0.04;0.04;0.0085;0.0302;0.1095;0.2;0.03810069;0.09846357;0.1930819;0.004;-0.048;0.2;0.004297439;-0.04738619;0.2077701;0.04629;0.05559999;0.2;0.05214046;0.05280898;0.2043147
0.08;0.04;0.0085;0.0302;0.1095;0.2;0.03723857;0.09618425;0.1852935;0.004;-0.048;0.2;0.005432665;-0.04829591;0.2056229;0.04629;0.05559999;0.2;0.0535344;0.05258854;0.2009375
0.12;0.04;0.0085;0.0302;0.1095;0.2;0.03768989;0.09519927;0.1822285;0.004;-0.048;0.2;0.005287714;-0.04899221;0.2046545;0.04629;0.05559999;0.2;0.05235396;0.05231699;0.1972202
0.16;0.04;0.0085;0.0302;0.1095;0.2;0.03689129;0.09802845;0.1827644;0.004;-0.048;0.2;0.005983397;-0.04645199;0.2038023;0.04629;0.05559999;0.2;0.05173167;0.05504908;0.1942554
0.2;0.04;0.0085;0.0302;0.1095;0.2;0.03828505;0.1007075;0.1833288;0.004;-0.048;0.2;0.008046925;-0.04523576;0.2018734;0.04629;0.05559999;0.2;0.05631912;0.05384115;0.1891014
0.24;0.04;0.0085;0.0302;0.1095;0.2;0.04167128;0.101435;0.1793854;0.004;-0.048;0.2;0.007758945;-0.04729528;0.1999002;0.04629;0.05559999;0.2;0.05658598;0.05480819;0.1885902
0.28;0.04;0.0085;0.0302;0.1095;0.2;0.04546376;0.1015906;0.1782008;0.004;-0.048;0.2;0.01002195;-0.04516008;0.1984796;0.04629;0.05559999;0.2;0.05813184;0.05590718;0.1878839
